list_code,list_name,kind,code
OWNED,Owned,EYEPIECE,SVB-GOLDLINE-6-66-1.25
OWNED,Owned,EYEPIECE,SVB-GOLDLINE-9-66-1.25
OWNED,Owned,EYEPIECE,SVB-GOLDLINE-15-66-1.25
OWNED,Owned,EYEPIECE,SVB-GOLDLINE-20-66-1.25
OWNED,Owned,EYEPIECE,GSO-SUPERPLOSSL-32-52-1.25
OWNED,Owned,EYEPIECE,GSO-SUPERVIEW-30-68-2
OWNED,Owned,EYEPIECE,ES-82-4.7-82-1.25
OWNED,Owned,EYEPIECE,ORI-DEEPVIEW-28-56-2
WISHLIST,Wishlist,EYEPIECE,TV-DELITE-5-62-1.25
WISHLIST,Wishlist,EYEPIECE,TV-DELITE-13-62-1.25
WISHLIST,Wishlist,EYEPIECE,TV-DELITE-18.2-62-1.25
WISHLIST,Wishlist,EYEPIECE,TV-PANOPTIC-24-68-1.25
